"sno","questions","Answers","Department"
"1","Where is the technical design document stored?","The technical design document is stored in a central, easily accessible location such as a shared drive, documentation platform, or version control system.","Design"
"2","What is the process for feature branching?","The process for feature branching typically involves creating a new branch from the main branch for each feature, developing and testing the feature in isolation, and merging it back after review.","Development"
"3","How do I set up the development environment?","To set up the development environment, follow the project's setup guide to install required tools, dependencies, and configure settings as specified.","Development"
"4","What's the process to set up the development environment?","The process to set up the development environment involves cloning the repository, installing dependencies, configuring environment variables, and verifying the setup.","Development"
"5","Who approves architecture changes?","Architecture changes are approved by the designated architecture review board or lead architect.","Customer Support"
"6","What is the process for hotfixes?","The process for hotfixes involves creating a hotfix branch from production, applying and testing the fix, and merging it back to both production and main branches.","Development"
"7","Where can I find the API documentation?","API documentation can be found in the central documentation repository or the dedicated API documentation portal.","Procurement"
"8","How do I deploy the latest code to production?","To deploy the latest code to production, follow the deployment process defined in the project's release documentation or CI/CD pipeline.","Customer Support"
"9","How do I request access to the codebase?","To request access to the codebase, submit an access request to the project administrator or through the organization's access management system.","Administration"
"10","What's the process to request a new development tool?","To request a new development tool, submit a request to your manager or IT support following the organization's procurement process.","Customer Support"
"11","Who should review my pull request?","Your pull request should be reviewed by assigned team members or designated code reviewers.","Customer Support"
"12","Who should review my pull request?","Your pull request should be reviewed by assigned team members or designated code reviewers.","Customer Support"
"13","Who approves architecture changes?","Architecture changes are approved by the architecture review board or lead architect.","Customer Support"
"14","Who approves architecture changes?","Architecture changes are approved by the architecture review board or lead architect.","Customer Support"
"15","How do I handle hotfixes?","Hotfixes should be handled by creating a hotfix branch, applying and testing the fix, and merging it back to production and main branches.","Customer Support"
"16","Where is the technical design document stored?","The technical design document is stored in a central documentation repository or shared drive.","Design"
"17","How do I request access to the codebase?","To request access to the codebase, submit a request to the project administrator or through the organization's access management system.","Administration"
"18","How do I request a code review?","To request a code review, assign relevant reviewers and notify them through your version control platform.","Customer Support"
"19","Where do I find the API documentation?","API documentation is located in the central documentation repository or dedicated API documentation portal.","Procurement"
"20","Who should review my pull request?","Your pull request should be reviewed by assigned team members or designated code reviewers.","Customer Support"
"21","Where do I find the API documentation?","API documentation is located in the central documentation repository or dedicated API documentation portal.","Procurement"
"22","What tools are used for continuous integration?","Tools commonly used for continuous integration include platforms like Jenkins, GitHub Actions, GitLab CI, and CircleCI.","Development"
"23","What is the process for feature branching?","The process for feature branching involves creating a new branch from the main branch for each feature, developing and testing the feature, and merging it back after review.","Development"
"24","Where can I find sample code for integration?","Sample code for integration is typically found in the project’s documentation repository or a designated code samples directory.","Procurement"
"25","Whom manages the main branch?","The main branch is managed by the repository maintainer or lead developer.","Procurement"
"26","How do I report a bug in our application?","To report a bug in the application, submit an issue through the designated bug tracking system or project management tool.","Customer Support"
"27","What is the process for feature branching?","The process for feature branching involves creating a new branch from the main branch for each feature, developing and testing the feature, and merging it back after review.","Development"
"28","Where can I find the API documentation?","API documentation is located in the central documentation repository or dedicated API documentation portal.","Procurement"
"29","What are the coding standards for this project?","Coding standards for the project are defined in the project's coding guidelines document or style guide.","Procurement"
